timestamp,carrier,distance_scheduled,departures_traffic,arrivals_traffic,wind_speed,wind_direction,taxi_out
2019-11-01 02:04:00,B6,636,17,9,25,W,14
2019-11-01 06:11:00,B6,2475,17,9,25,W,15
2019-11-01 03:01:00,B6,1069,17,9,25,W,22
2019-11-01 02:48:00,B6,944,17,9,25,W,12
2019-11-01 02:19:00,DL,760,17,9,24,W,13
2019-11-01 02:41:00,AA,740,17,9,24,W,21
2019-11-01 06:13:00,AA,2475,17,9,24,W,26
2019-11-01 01:20:00,B6,301,21,17,24,W,11
2019-11-01 06:08:00,B6,2465,21,17,24,W,25
2019-11-01 03:04:00,B6,1069,21,17,24,W,29
2019-11-01 05:43:00,B6,2248,21,17,24,W,26
2019-11-01 01:35:00,AA,213,21,17,24,W,30
2019-11-01 05:36:00,AA,2153,21,17,24,W,24
2019-11-01 06:28:00,B6,2586,21,17,24,W,17
2019-11-01 03:42:00,B6,1598,21,17,24,W,16
2019-11-01 06:31:00,DL,2586,21,17,24,W,16
2019-11-01 05:21:00,DL,1990,21,17,24,W,25
2019-11-01 01:22:00,DL,187,21,17,24,W,15
2019-11-01 06:26:00,AA,2586,21,17,24,W,18
2019-11-01 02:23:00,B6,718,21,17,24,W,14
2019-11-01 01:13:00,B6,209,21,17,24,W,21
2019-11-01 02:34:00,B6,760,21,17,24,W,16
2019-11-01 03:07:00,DL,1029,21,17,24,W,34
2019-11-01 06:19:00,B6,2475,21,17,24,W,15
2019-11-01 06:05:00,DL,2475,21,17,24,W,23
2019-11-01 06:13:00,DL,2422,26,30,24,W,24
2019-11-01 03:04:00,AA,1089,26,30,24,W,24
2019-11-01 06:20:00,AS,2422,26,30,24,W,19
2019-11-01 06:15:00,AS,2454,26,30,24,W,20
2019-11-01 03:00:00,B6,1005,26,30,24,W,13
2019-11-01 01:15:00,B6,266,26,30,24,W,11
2019-11-01 02:43:00,B6,740,26,30,24,W,13
2019-11-01 06:16:00,AA,2475,26,30,21,W,20
2019-11-01 02:46:00,AA,740,26,30,21,W,19
2019-11-01 04:13:00,DL,1417,26,30,21,W,23
2019-11-01 04:31:00,DL,1626,26,30,21,W,20
2019-11-01 03:13:00,B6,1074,26,30,21,W,10
2019-11-01 06:16:00,B6,2475,26,30,21,W,12
2019-11-01 01:28:00,MQ,290,26,30,21,W,25
2019-11-01 02:36:00,9E,828,19,46,21,W,24
2019-11-01 02:56:00,B6,944,19,46,21,W,10
2019-11-01 03:01:00,DL,1089,19,46,21,W,36
2019-11-01 03:09:00,DL,1182,19,46,21,W,11
2019-11-01 02:16:00,AA,541,19,46,21,W,21
2019-11-01 02:50:00,DL,944,19,46,21,W,15
2019-11-01 02:39:00,9E,765,19,46,21,W,24
2019-11-01 01:51:00,9E,427,19,46,21,W,12
2019-11-01 06:40:00,DL,2586,19,46,21,W,28
2019-11-01 03:07:00,B6,1069,19,46,21,W,25
2019-11-01 03:54:00,DL,1598,19,46,21,W,29
2019-11-01 05:59:00,DL,2446,19,46,21,W,25
2019-11-01 06:28:00,DL,2569,19,46,21,W,26
2019-11-01 02:53:00,DL,1005,19,46,21,W,21
2019-11-01 01:44:00,B6,427,19,46,21,W,21
2019-11-01 01:24:00,B6,264,19,46,21,W,27
2019-11-01 05:21:00,B6,1990,19,46,21,W,26
2019-11-01 03:14:00,AA,1089,19,46,21,W,25
